Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Performance_Ratio,Power_Deviation,Anomaly_Score,Is_Anomaly_IF,Underperformance_Flag,Combined_Anomaly,Anomaly_Severity
2018-07-21 16:10:00,310.446807861328,5.31244802474975,416.630175048874,54.2077293395996,0.7451375961421243,-25.486240145766548,-0.4750382325411102,0,True,1,Moderate
2018-07-21 16:20:00,374.765686035156,5.67252922058105,520.027679343522,53.5256690979003,0.7206648803532761,-27.933511772374924,-0.48029054566352375,0,True,1,Moderate
2018-07-21 16:30:00,379.434112548828,5.7454981803894,542.473200220535,49.8292617797851,0.699452270997207,-30.054772715938398,-0.4701048869527493,0,True,1,Moderate
2018-07-21 16:40:00,495.053314208984,6.10607194900512,660.358312378981,51.590591430664,0.7496737819137166,-25.0326216571954,-0.4581169491077384,0,True,1,Moderate
2018-07-21 16:50:00,422.070007324218,5.83283376693725,570.038046898281,42.1924400329589,0.740424273222431,-25.957572502330013,-0.4665631419024116,0,True,1,Moderate
2018-07-21 17:00:00,333.921600341796,5.35762405395507,428.96001776442,43.118309020996,0.7784445769646005,-22.15554207041799,-0.47628573288823944,0,True,1,Moderate
2018-07-21 17:10:00,274.17739868164,5.15217781066894,374.283457964358,40.1714706420898,0.7325394486849316,-26.74605486432966,-0.48678926547470686,0,True,1,Moderate
2018-07-21 17:20:00,373.9541015625,5.69813680648803,527.844890630551,35.7260818481445,0.7084545242207966,-29.154547388470743,-0.48699829813709195,0,True,1,Moderate
2018-07-21 17:30:00,379.381286621093,5.58732604980468,494.475142201523,32.8777084350585,0.7672403594744022,-23.275963850325144,-0.4849478649772227,0,True,1,Moderate
2018-07-21 17:50:00,254.448303222656,5.12401819229125,367.061397849359,39.5465087890625,0.6932036548116597,-30.67963424640005,-0.48304725080687994,0,True,1,Moderate
2018-07-21 18:00:00,284.215515136718,5.27790117263793,407.319927901029,42.3424491882324,0.6977697258848755,-30.223027166005185,-0.49067660226541127,0,True,1,Moderate
2018-07-21 18:10:00,214.003097534179,4.86309480667114,303.065103344626,43.5410995483398,0.7061291269311842,-29.38708697691947,-0.4767624306439606,0,True,1,Moderate
2018-07-21 18:20:00,193.274002075195,4.6117238998413,246.02978325866,32.2828292846679,0.785571562636494,-21.442843329895755,-0.48296227270449366,0,True,1,Moderate
2018-07-21 18:30:00,167.843597412109,4.54174280166625,230.887902688357,27.0288200378417,0.7269484227231644,-27.305157294572957,-0.4880187036306237,0,True,1,Moderate
2018-07-21 18:40:00,163.582901000976,4.55218887329101,233.128790084493,25.8549709320068,0.7016846792710754,-29.83153164394502,-0.4890448844785746,0,True,1,Moderate
2018-07-21 18:50:00,120.641502380371,4.32227611541748,185.299206293781,28.8392295837402,0.6510632405949853,-34.89367540083375,-0.497042368201534,0,True,1,Moderate
2018-07-21 19:00:00,122.198997497558,4.47941493988037,217.655204534228,22.3689708709716,0.5614338384309455,-43.85661569746319,-0.5076934456306427,0,True,1,Severe
2018-07-21 19:10:00,129.964096069335,4.32634496688842,186.119562460507,23.1830196380615,0.6982828331042817,-30.17171615228279,-0.5044918999669561,0,True,1,Moderate
2018-07-21 19:20:00,172.619201660156,4.69221782684326,263.832041803124,18.5167694091796,0.6542768642737129,-34.57231319359969,-0.5018913404363348,0,True,1,Moderate
2018-07-21 19:30:00,172.210098266601,4.5511770248413,232.911434959659,22.058910369873,0.7393801749452454,-26.061982076127716,-0.49869972763919657,0,True,1,Moderate
2018-07-21 19:40:00,199.85139465332,4.77082777023315,281.631194524209,21.96821975708,0.7096209433806874,-29.03790530685696,-0.49896418664513403,0,True,1,Moderate
