Date,Daily_Score,Daily_State,Avg_Power,Avg_Wind_Speed
2018-01-01,77.78445552193804,Moderate,1584.9754031155542,8.15039036080642
2018-01-02,78.08763023332635,Moderate,3214.6455461993883,12.046102160927587
2018-01-03,73.78837748260005,Moderate,1110.7802538271285,6.962366822913833
2018-01-04,79.48617130293115,Moderate,996.5670525892708,6.762485998981399
2018-01-05,74.1971964399781,Moderate,378.6597521761625,4.990889777528473
2018-01-06,70.666297725527,Moderate,2074.92174776395,9.050084367394415
2018-01-07,78.6824154888062,Moderate,3275.0480580271005,12.222522305853529
2018-01-08,75.95269613222283,Moderate,770.1848909100901,6.271729194200951
2018-01-09,76.41980764601068,Moderate,503.94725631944993,5.467822623975344
2018-01-10,72.88478715700337,Moderate,595.6898097651331,5.847201713493886
2018-01-11,73.98072025998437,Moderate,1222.9759736868032,7.3338195287264245
2018-01-12,73.79961988641263,Moderate,315.3072053081581,4.802781509903237
2018-01-13,80.61709086062645,Moderate,2929.608175373761,11.120899653263193
2018-01-15,72.50606711494596,Moderate,1886.7489287547553,8.344644497602403
2018-01-16,77.82542146303697,Moderate,3370.0163940429666,12.777517890930126
2018-01-17,79.79638890129714,Moderate,3479.9921260257393,14.739178671253619
2018-01-18,73.94583333131423,Moderate,2715.7977206506434,11.715858160892344
2018-01-19,78.55760310116737,Moderate,2428.788723462246,10.04994115764145
2018-01-20,79.57549397151823,Moderate,3492.3752003636832,16.520105815755862
2018-01-21,77.48044593145066,Moderate,3171.096930169437,12.018284395143539
2018-01-22,75.9955206515748,Moderate,1259.982928514479,7.0930589267185615
2018-01-26,72.63537744403068,Moderate,2421.7382812499986,9.923834800720185
2018-01-30,74.24830454710703,Moderate,1232.1557884216293,7.503944486379618
2018-01-31,67.11813753022203,Poor,425.86412089954644,5.350172524018716
2018-02-01,78.91510346316846,Moderate,3393.2348804212575,14.57893656377918
2018-02-02,81.07849165589461,Moderate,3597.5153454196047,18.04048736633788
2018-02-03,81.17063897637394,Moderate,3602.360825360829,18.55253740892567
2018-02-04,76.93533632614454,Moderate,2766.5312185779044,14.071123885125195
2018-02-05,77.19377845809792,Moderate,1356.2039478619868,7.68566609091228
2018-02-06,73.50341987716348,Moderate,977.1405909254729,6.508240255149628
2018-02-07,74.07006166758569,Moderate,1710.1902345489034,8.360622404252764
2018-02-08,75.47328800392214,Moderate,2973.7902090338184,11.547873910469303
2018-02-09,73.20992097916711,Moderate,1053.4228910015458,6.716253808749609
2018-02-10,72.72898376291997,Moderate,921.6395598411543,6.491757941246026
2018-02-11,72.82935356862704,Moderate,2637.566217722853,10.846307270170163
2018-02-12,47.72219884098343,Poor,55.44702529907224,3.773381312688187
2018-02-13,73.43885511011847,Moderate,1874.7401141681873,9.125926637101417
2018-02-14,79.41456000893618,Moderate,3405.3801819251835,14.208931253445812
2018-02-15,74.20030819901115,Moderate,1749.4365897618266,8.339441764439233
2018-02-16,82.07867589331902,Moderate,2024.6672515869109,8.715402238898797
2018-02-17,80.20671748671303,Moderate,1568.5599327922705,7.76954337976274
2018-02-18,71.9937265511376,Moderate,85.44371128082251,3.671049020507114
2018-02-19,75.253361861606,Moderate,2693.0238591611746,10.394287290136766
2018-02-20,75.33671245413069,Moderate,862.580641850385,6.272731653534534
2018-02-21,77.93444428711145,Moderate,639.3126381854613,5.745623924294292
2018-02-22,71.36781930687727,Moderate,526.4617095849446,5.714580383056244
2018-02-23,75.02871793150506,Moderate,1562.9074579874646,7.9790578200703495
2018-02-24,76.92656557241305,Moderate,828.6473573684677,6.338110895156856
2018-02-25,60.3896478814813,Poor,1633.616772460932,9.374026489257794
2018-02-26,78.11995599776297,Moderate,2272.2806061894034,9.960689814693927
2018-02-27,72.90333212878402,Moderate,1920.802010210821,9.179107747358415
2018-02-28,75.68593907456687,Moderate,2691.419045907477,12.534887455127825
2018-03-01,73.55839441868282,Moderate,3102.0277044122845,12.124277439984366
2018-03-02,78.30545914848283,Moderate,3361.6455765845044,14.868303775787306
2018-03-03,80.035732457447,Moderate,3522.1734149639396,16.58208932409748
2018-03-04,74.53025329408587,Moderate,2380.8442093865897,12.925914291749885
2018-03-05,69.86615587469811,Moderate,1670.5989532759677,8.89161852995553
2018-03-06,77.23446264721059,Moderate,3328.2625367041323,14.317787965138708
2018-03-07,78.55652847020885,Moderate,3416.9517572778827,15.567048546171486
2018-03-08,74.2468721983934,Moderate,2092.7365426251463,9.200526721286053
2018-03-09,66.82461192365201,Poor,174.9884699041191,4.512648279016663
2018-03-10,69.2050064449617,Moderate,1055.5988139372594,7.11932918200125
2018-03-11,72.1961561952717,Moderate,1393.1901792095541,7.658500702150386
2018-03-12,74.57146946879149,Moderate,1869.1717679822743,9.284688811044413
2018-03-13,74.68811572931452,Moderate,3092.206619477605,12.340716314987354
2018-03-14,75.41676364630808,Moderate,2715.8357045140733,11.116295916458625
2018-03-15,72.20425102470057,Moderate,1669.8310986026618,8.370153163709928
2018-03-16,76.21003619685865,Moderate,2453.599206833609,11.134968877649603
2018-03-17,80.9912700890406,Moderate,3582.479673032405,16.799063915676495
2018-03-18,78.40059110095311,Moderate,3298.2521939212306,15.210803289935972
2018-03-19,74.82272051916556,Moderate,1813.3507458105998,8.825044524400733
2018-03-20,78.0538073816909,Moderate,2993.28954282014,13.135588210561966
2018-03-21,74.18894056978866,Moderate,2708.1570623125326,10.724945924963237
2018-03-22,73.88622042598516,Moderate,2114.1491151051955,9.188547109904327
2018-03-23,74.00804297238983,Moderate,2108.7016756085354,9.725625570269575
