Variable,Train MAE,Test MAE,Train MSE,Test MSE,Train RMSE,Test RMSE,Train R²,Test R²,Train MAPE (%),Test MAPE (%)
Active Power,282.7737973591044,309.2504063797917,176060.76271213294,206091.07501406586,419.59595173468125,453.97254874503795,0.8899815126360268,0.8653531860258336,62.78187911620932,49.70876479130122
Wind Speed,0.873672252165158,0.9206745593352627,1.5115688670354113,1.6329983338488399,1.2294587699615678,1.2778882321427174,0.8862658767573867,0.8832508019016906,11.551763424428275,11.39777318165902
Theoretical Power,313.5251396742471,331.99463873450725,232495.06775793512,254873.78941841976,482.1774235257548,504.850264354115,0.8652852962172464,0.8415002368119173,415500713768.80695,1104454552913.773
Wind Direction,12.543197544083124,12.559856059067535,1031.9185939247054,1168.6396319019316,32.12348975321183,34.18537160690127,0.857709549927254,0.8358505858215545,93.64837146107334,208.3843569303458
